"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Selected monetary aggregates and their components"

"DESCRIPTION"
"Month-end, Millions of dollars"

"LINK"
"https://www.bankofcanada.ca/?p=196858"

"SERIES"
"id","label","description"
"V37173","Currency outside banks (Unadjusted)","M3 (gross) - M2 (gross)"
"V37148","Currency outside banks (Seasonally adjusted)","M3 (gross) - M2 (gross)"
"V41552775_E1","Chequable (Unadjusted)","M3 (gross) - M2 (gross) - Personal deposits"
"V41552802","Chequable (Seasonally adjusted)","M3 (gross) - M2 (gross) - Personal deposits"
"V36818","Non-chequable (Unadjusted)","M3 (gross) - M2 (gross) - Personal deposits"
"V36823","Fixed term (Unadjusted)","M3 (gross) - M2 (gross) - Personal deposits"
"V41552777_E1","Chequable (Unadjusted)","M3 (gross) - M2 (gross) - Non-personal demand and notice deposits"
"V41552803","Chequable (Seasonally adjusted)","M3 (gross) - M2 (gross) - Non-personal demand and notice deposits"
"V36828_E1","Non-chequable (Unadjusted)","M3 (gross) - M2 (gross) - Non-personal demand and notice deposits"
"V41552789","Adjustments to M2 (gross) (Unadjusted)","M3 (gross) - M2 (gross)"
"V41552786","M2 (gross) (Unadjusted)","M3 (gross) - M2 (gross)"
"V41552796","M2 (gross) (Seasonally adjusted)","M3 (gross) - M2 (gross)"
"V36830_E1","Non-personal term deposits (Unadjusted)","M3 (gross)"
"V36876_E1","Foreign currency deposits of residents (Unadjusted)","M3 (gross)"
"V37250","Adjustments to M3 (gross) (Unadjusted)","M3 (gross)"
"V41552785","M3 (gross) (Unadjusted)","M3 (gross)"
"V41552794","M3 (gross) (Seasonally adjusted)","M3 (gross)"
"V41552786_E1","M2 (gross) (Unadjusted)","M2++ (gross) - M2+ (gross)"
"V41552796_E1","M2 (gross) (Seasonally adjusted)","M2++ (gross) - M2+ (gross)"
"V122611003","Non-banks (Unadjusted)","M2++ (gross) - M2+ (gross)"
"V122611008","Non-banks (Seasonally adjusted)","M2++ (gross) - M2+ (gross)"
"V37245","Money market mutual funds (Unadjusted)","M2++ (gross) - M2+ (gross)"
"V37251","Adjustments to M2+ (gross) (Unadjusted)","M2++ (gross) - M2+ (gross)"
"V41552788","M2+ (gross) (Unadjusted)","M2++ (gross) - M2+ (gross)"
"V41552798","M2+ (gross) (Seasonally adjusted)","M2++ (gross) - M2+ (gross)"
"V37255","Canada Savings Bonds and other retail instruments (Unadjusted)","M2++ (gross)"
"V37147","Canada Savings Bonds and other retail instruments (Seasonally adjusted)","M2++ (gross)"
"V37256","Non-money market mutual funds (Unadjusted)","M2++ (gross)"
"V37149","Non-money market mutual funds (Seasonally adjusted)","M2++ (gross)"
"V41552790","M2++ (gross) (Unadjusted)","M2++ (gross)"
"V41552801","M2++ (gross) (Seasonally adjusted)","M2++ (gross)"
"V37258","M1+ (gross) (Unadjusted)",""
"V37151","M1+ (gross) (Seasonally adjusted)",""
"V37259","M1++ (gross) (Unadjusted)",""
"V37152","M1++ (gross) (Seasonally adjusted)",""

"OBSERVATIONS"
"date","V37173","V37148","V41552775_E1","V41552802","V36818","V36823","V41552777_E1","V41552803","V36828_E1","V41552789","V41552786","V41552796","V36830_E1","V36876_E1","V37250","V41552785","V41552794","V41552786_E1","V41552796_E1","V122611003","V122611008","V37245","V37251","V41552788","V41552798","V37255","V37147","V37256","V37149","V41552790","V41552801","V37258","V37151","V37259","V37152"
"1946-01-01","1041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-02-01","1034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-03-01","1053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-04-01","1056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-05-01","1053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-06-01","1068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-07-01","1064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-08-01","1067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-09-01","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-10-01","1087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-11-01","1101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1946-12-01","1102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-01-01","1088","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-02-01","1087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-03-01","1093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-04-01","1083","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-05-01","1082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-06-01","1089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-07-01","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-08-01","1086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-09-01","1093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-10-01","1104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-11-01","1120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947-12-01","1115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-01-01","1103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-02-01","1099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-03-01","1101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-04-01","1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-05-01","1119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-06-01","1122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-07-01","1141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-08-01","1142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-09-01","1158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-10-01","1191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-11-01","1186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1948-12-01","1178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1949-01-01","1158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
